psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
100003,1,3, ,48,3,1,99,2
100007,2,4, ,74,6,1,2,2
100010,2,3, ,51,3,1,4,2
100012,2,4,1,76,3,1,2,2
100016,2,1, ,87,5,1,99,2
100021,2,2, ,77,1,1,2,2
100028,2,2,1,36,3,6,8,1
100031,2,1,1,44,5,4,7,2
100032,2,2, ,49,5,1,3,2
100037,2,2, ,60,5,1,99,2
100038,2,2, ,72,2,1,3,2
100041,2,3, ,82,3,9,5,2
100042,2,2, ,64,5,1,2,2
100043,2,4,1,33,6,2,5,2
100045,2,3, ,62,7,5,2,2
100047,2,3, ,69,6,1,4,2
100050,2,3, ,72,3,1,6,2
100054,2,2,88,61,3,1,4,2
100055,2,4,1,50,6,1,6,2
100061,1,3, ,80,7,3,98,2
100062,2,4,1,57,3,1,99,2
100063,2,5,1,65,3,1,2,2
100074,2,3, ,78,5,1,2,2
100078,1,1,88,70,6,1,8,2
100085,1,3, ,75,3,1,3,2
100087,2,1,1,32,6,1,99,2
100091,2,2, ,55,5,2,5,2
100092,2,3,5,34,6,1,6,1
100096,2,2,1,41,7,1,6,2
100097,1,2, ,41,3,1,7,2
100099,1,5, ,60,3,1,1,2
100104,1,2,1,67,6,9,6,9
100111,2,4,1,58,3,1,6,2
100113,1,2,98,84,3,1,99,2
100114,1,3,1,42,6,1,99,2
100117,2,4, ,99,9,2,99,2
100120,2,3, ,44,6,1,8,2
100123,1,4, ,67,6,1,99,1
100125,2,1, ,58,3,1,3,1
100128,2,3, ,68,5,1,99,2
100132,1,4, ,77,3,1,3,2
100136,2,3, ,85,8,1,4,2
100139,2,4, ,39,5,1,3,2
100140,2,4, ,78,2,1,2,2
100143,2,2,1,46,5,1,7,2
100157,2,3,1,38,6,1,2,2
100164,1,3,1,18,3,1,2,2
100166,1,4, ,46,2,1,2,2
100168,2,2,88,66,6,1,99,2
100169,2,1,1,50,5,1,9,1
100170,1,2,1,41,7,1,8,2
100172,1,3, ,80,6,1,3,2
100174,1,3, ,83,7,1,7,2
100175,1,2, ,60,6,1,8,2
100176,1,2,1,66,5,1,4,2
100179,2,5, ,63,3,1,1,2
100181,1,2,1,53,6,1,7,2
100182,2,2,1,37,6,5,9,2
100183,2,3, ,75,5,1,7,2
100201,2,1, ,80,6,1,99,2
100202,2,1,1,70,7,1,3,2
100204,2,3,1,36,6,9,5,9
100206,1,4,98,30,1,8,7,1
100207,2,1, ,69,5,1,7,2
100214,1,5, ,35,2,9,2,9
100221,1,3,1,67,6,1,9,2
100227,1,3, ,56,6,1,7,2
100229,1,3, ,58,2,4,99,2
100236,2,2, ,79,3,3,98,2
100237,2,8, ,83,3,1,1,2
100241,2,2, ,65,4,9,3,2
100245,2,3, ,29,1,6,98,1
100248,1,4, ,47,3,1,2,2
100252,1,2, ,68,7,1,6,2
100260,2,4, ,63,6,1,6,2
100261,1,3,1,66,5,1,5,2
100262,2,3,1,34,7,1,99,2
100264,2,3, ,43,3,1,4,2
100266,1,2,1,50,5,1,7,2
100278,2,3,1,37,5,2,3,2
100280,1,3, ,41,7,1,8,2
100286,1,3,1,31,6,1,8,2
100297,1,2, ,65,5,1,7,2
100302,2,1, ,83,3,1,99,2
100310,1,3, ,75,2,2,98,2
100313,2,1, ,62,5,2,2,2
100316,1,4,1,31,3,1,6,2
100319,1,5, ,88,1,1,4,2
100326,2,2,1,18,2,4,98,1
100330,2,4, ,60,2,2,98,2
100334,1,2,1,64,7,1,8,2
100335,1,2, ,45,5,5,5,2
100336,2,2, ,52,5,1,9,2
